City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
385,Loandjili,CG,78.91,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
386,Kushima,JP,72.23,moderate rain,31.4583,131.2333,Hanaoka
387,Palu,ID,83.95,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
389,Yulara,AU,84.76,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
393,Sakakah,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
398,Abu Zabad,SD,86.31,few clouds,12.35,29.25,حامد محمد نور
400,Abnub,EG,73.62,clear sky,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
404,Loiza,PR,79.07,scattered clouds,18.4313,-65.8802,Puerto Rico Vacation Villas at Aquatika
406,Coron,PH,87.42,broken clouds,11.9986,120.2043,Coron Westown Resort
409,Hambantota,LK,88.14,light rain,6.1241,81.1185,Bungalow 63
410,Sola,VU,79.65,overcast clouds,-13.8833,167.55,Leumerus Bungalows
413,Chipurupalle,IN,93.47,clear sky,18.3,83.5667,Sai Towers
418,Les Cayes,HT,77.47,overcast clouds,18.2,-73.75,Villa Orphee
421,Simao,CN,77.72,broken clouds,22.7886,100.9748,Changyu Hotel
423,Katherine,AU,91.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
426,Makakilo City,US,74.95,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
427,Qianjiang,CN,71.17,broken clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
428,Zhetysay,KZ,76.96,overcast clouds,40.7333,68.3,Gostinitsa Den
430,San Patricio,US,78.84,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
436,Kuah,MY,91.38,scattered clouds,6.3265,99.8432,Azio Hotel
437,Yenagoa,NG,77.36,broken clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
441,Luganville,VU,77.47,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
442,Tanabe,JP,70.81,light intensity shower rain,33.7333,135.3667,美吉屋旅館
447,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
448,Platteville,US,78.87,clear sky,42.7342,-90.4785,"Country Inn & Suites by Radisson, Platteville, WI"
450,Acajutla,SV,81.01,clear sky,13.5928,-89.8275,Laureles
451,Mocuba,MZ,70.03,light rain,-16.8392,36.9856,Phama Lodge
459,Ocos,GT,77.18,few clouds,14.5094,-92.1933,Auto Hotel El Soñador
461,Tual,ID,84.34,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
464,Kuching,MY,91.62,scattered clouds,1.55,110.3333,Hilton Kuching
467,Riohacha,CO,77.85,overcast clouds,11.5444,-72.9072,Hotel Taroa
469,Chokwe,MZ,70.03,clear sky,-24.5333,32.9833,Complexo Sonho Real
471,Mingaora,PK,94.17,clear sky,34.7758,72.3625,Burj Al Swat
472,Dakar,SN,70.68,broken clouds,14.6937,-17.4441,Novotel Dakar
473,Charters Towers,AU,78.78,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
478,Kita,ML,84.06,overcast clouds,13.0349,-9.4895,Hôtel Chat Rouge
480,Mareeba,AU,82.44,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
481,La Asuncion,VE,77.99,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
482,Port Moresby,PG,79.41,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
483,Ratnagiri,IN,89.4,overcast clouds,16.9833,73.3,Hotel Landmark
484,Mozarlandia,BR,72.73,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
486,Jiazi,CN,75.92,moderate rain,22.8779,116.067,Hotel Jin Hao
488,Sorong,ID,84.04,broken clouds,-0.8833,131.25,Waigo Splash Hotel
493,Najran,SA,85.5,clear sky,17.4924,44.1277,محمد هادي ال فطيح
494,Kupang,ID,85.06,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
495,Chardara,KZ,74.93,moderate rain,41.2547,67.9692,Жанаргул
496,Kawalu,ID,88.2,broken clouds,-7.3817,108.2082,West Jontor
501,Atar,MR,84.45,clear sky,20.5169,-13.0499,Oumou Elghoura
503,Bilma,NE,79.29,clear sky,18.6853,12.9164,Expeditions Ténére voyages
506,Buala,SB,82.38,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
507,Urucara,BR,73.33,broken clouds,-2.5364,-57.76,Pousada Maria Bonita
511,Hami,CN,71.35,overcast clouds,42.8,93.45,Laoyutang Resort
514,Turkmenabat,TM,75.78,overcast clouds,39.0733,63.5786,"Гостиница ""Yupek Yoly"" (Шелковый путь)"
515,Asau,RO,71.96,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
516,Namibe,AO,71.96,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
517,Ugep,NG,74.26,overcast clouds,5.8086,8.0812,Classic Bar
522,Labuhan,ID,89.24,few clouds,-6.8844,112.2051,DoubleFAG
524,Dasoguz,TM,73.49,scattered clouds,41.8363,59.9666,Hotel Erik
526,Atambua,ID,81.46,broken clouds,-9.1061,124.8925,Kost Alfa Flat
528,Tabou,CI,76.33,overcast clouds,4.423,-7.3528,hotêl doufoulougou
539,Lamu,KE,82.38,broken clouds,-2.2717,40.902,Lamu House
540,Bangolo,CI,72.95,overcast clouds,7.0069,-7.475,Les hôtels
541,Korla,CN,72.91,broken clouds,41.7597,86.1469,Gulisitan Hotel
544,Ambunti,PG,90.19,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
547,Mehran,IR,84.6,clear sky,33.1222,46.1646,بوتیک زنانه بهار
550,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
558,Vao,NC,73.2,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
566,San Narciso,PH,87.42,overcast clouds,15.0143,120.0803,Beach Club Luxury Studio
569,Barabinsk,RU,72.25,overcast clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
573,Baiao,BR,72.54,overcast clouds,-2.7906,-49.6717,Hotel Eurosono
577,Faya,SA,79.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
579,Vavoua,CI,72.99,overcast clouds,7.3819,-6.4778,Hotel Le Peuple
587,Karratha,AU,79.9,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
588,Dhidhdhoo,MV,83.82,moderate rain,6.8833,73.1,Dhidhoo beach
592,Camopi,GF,70.7,scattered clouds,3.1655,-52.3158,La pousada
596,Vega De Alatorre,MX,76.75,scattered clouds,20.0333,-96.6333,Hotel D Luxe
599,La Palma,US,71.82,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
600,Diffa,NE,89.67,broken clouds,13.3154,12.6113,ProDAF/Diffa
602,Shache,CN,71.24,overcast clouds,38.4167,77.2406,Delong Hotel
605,Shawnee,US,80.28,clear sky,39.05,-95.7669,Fairfield Inn by Marriott Topeka
606,Jumla,NP,70.09,scattered clouds,29.2747,82.1838,Royal Garden Hotel
608,Kavaratti,IN,84.61,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
613,Bartica,GY,73.72,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
615,Port Hedland,AU,84.25,light rain,-20.3167,118.5667,The Esplanade Hotel
617,Catuday,PH,86.18,scattered clouds,16.2923,119.8062,Benjie's Kubo & Cottages
619,Tomatlan,MX,73.69,broken clouds,19.9333,-105.25,El Salvial
620,Namatanai,PG,83.64,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
621,Urumqi,CN,72.55,few clouds,43.801,87.6005,Hua Ling Grand Hotel Urumqi
628,Jalu,LY,70.16,scattered clouds,29.0331,21.5482,صاحبة الفخامة
630,Dawei,MM,77.92,light rain,14.0833,98.2,Hotel Dawei
631,Ardakan,IR,75.54,clear sky,32.31,54.0175,Ardakan Hotel
633,Kendari,ID,84.87,light rain,-3.945,122.4989,Hotel Wixel
634,Mangrol,IN,89.4,clear sky,21.1167,70.1167,Hotel The Royal Honours
639,Sao Felix Do Xingu,BR,72.18,broken clouds,-6.6447,-51.995,Rio Xingu Camping
640,Galesong,ID,87.82,broken clouds,-5.3166,119.3661,Sapriadi Appy
642,Panama City,PA,81.18,scattered clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
648,Sawakin,SD,91.36,clear sky,19.1059,37.3321,فندق الدويم
654,Balikpapan,ID,80.51,overcast clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
664,Baghdad,IQ,83.41,clear sky,33.3406,44.4009,Baghdad Hotel
665,Batticaloa,LK,89.4,broken clouds,7.7102,81.6924,Grand Star Guest House
667,Kununurra,AU,93.18,scattered clouds,-15.7667,128.7333,Hotel Kununurra
671,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
673,Cotonou,BJ,81.18,overcast clouds,6.3654,2.4183,Novotel Cotonou Orisha
685,Kon Tum,VN,85.75,light rain,14.35,108.0,Hoa đà spa- homestay
