City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Airai,TL,2022-05-07 18:49:18,-8.9266,125.4092,60.69,96,58,4.5
118,Cozumel,MX,2022-05-07 18:51:05,20.5083,-86.9458,87.94,74,89,10.0
119,Dunedin,NZ,2022-05-07 18:46:52,-45.8742,170.5036,61.81,57,100,3.0
120,Tuatapere,NZ,2022-05-07 18:50:26,-46.1333,167.6833,55.62,97,100,0.81
121,Bagdarin,RU,2022-05-07 18:51:06,54.4333,113.6,40.08,44,98,3.4
122,Rundu,NA,2022-05-07 18:51:07,-17.9333,19.7667,67.95,34,50,1.63
123,Vestmannaeyjar,IS,2022-05-07 18:51:07,63.4427,-20.2734,44.83,82,100,24.65
124,Kaeo,NZ,2022-05-07 18:50:32,-35.1,173.7833,51.33,95,15,3.76
125,Sur,OM,2022-05-07 18:49:02,22.5667,59.5289,85.39,62,0,10.87
126,Evensk,RU,2022-05-07 18:51:08,61.95,159.2333,30.85,98,100,18.01
127,Ylojarvi,FI,2022-05-07 18:51:09,61.5563,23.5961,43.95,81,0,8.05
128,Paamiut,GL,2022-05-07 18:48:02,61.994,-49.6678,34.2,86,82,13.06
129,Gooik,BE,2022-05-07 18:51:09,50.7815,4.0947,64.2,75,8,1.01
130,Mago,RU,2022-05-07 18:51:10,53.2514,140.1822,27.5,95,100,0.4
131,Sibolga,ID,2022-05-07 18:51:14,1.7427,98.7792,76.03,89,100,0.83
132,Minsk,BY,2022-05-07 18:47:24,53.9,27.5667,60.55,81,18,5.7
133,Ramhormoz,IR,2022-05-07 18:51:14,31.28,49.6035,81.09,17,0,11.9
134,Djougou,BJ,2022-05-07 18:51:15,9.7085,1.666,81.97,50,95,4.68
135,Iskateley,RU,2022-05-07 18:51:15,67.6803,53.1512,36.68,100,100,12.82
136,Chardara,KZ,2022-05-07 18:51:16,41.2547,67.9692,75.74,41,0,8.9
137,Camopi,GF,2022-05-07 18:51:16,3.1655,-52.3158,79.81,93,97,3.27
138,Vostok,RU,2022-05-07 18:51:17,46.4856,135.8833,30.78,98,100,3.06
139,Acapulco,MX,2022-05-07 18:48:34,16.8634,-99.8901,87.66,55,100,8.16
140,Port Lincoln,AU,2022-05-07 18:48:42,-34.7333,135.8667,55.63,79,1,2.15
141,Chau Doc,VN,2022-05-07 18:51:18,10.7,105.1167,78.53,86,100,5.14
142,Vanavara,RU,2022-05-07 18:51:18,60.34,102.2797,32.4,74,89,17.4
143,Faya,SA,2022-05-07 18:51:19,18.3851,42.4509,66.72,41,84,4.63
144,Marawi,PH,2022-05-07 18:51:19,7.9986,124.2928,70.16,90,80,2.19
145,Sao Gabriel Da Cachoeira,BR,2022-05-07 18:51:20,-0.1303,-67.0892,89.4,66,40,3.44
146,Tuktoyaktuk,CA,2022-05-07 18:49:27,69.4541,-133.0374,32.0,86,100,12.66
147,Torva,EE,2022-05-07 18:51:20,58.0028,25.935,52.11,95,100,7.56
148,Pervomayskoye,RU,2022-05-07 18:51:21,43.919,46.7102,47.98,78,100,9.55
149,Steinbach,DE,2022-05-07 18:51:21,50.1667,8.5667,68.9,40,20,9.22
150,Porgera,PG,2022-05-07 18:51:22,-5.4667,143.2,45.45,99,100,1.39
151,Hazleton,US,2022-05-07 18:51:22,40.9584,-75.9746,41.88,87,100,10.36
152,Guanica,PR,2022-05-07 18:51:23,17.9716,-66.908,88.29,69,5,5.99
153,Anadyr,RU,2022-05-07 18:51:23,64.75,177.4833,28.9,86,0,11.18
154,Chokurdakh,RU,2022-05-07 18:51:24,70.6333,147.9167,14.11,95,100,10.67
155,Iqaluit,CA,2022-05-07 18:51:24,63.7506,-68.5145,28.13,46,75,12.66
156,Vardo,NO,2022-05-07 18:49:54,70.3705,31.1107,39.18,70,75,19.57
157,Tecoanapa,MX,2022-05-07 18:51:25,16.5167,-98.75,86.23,51,68,10.13
158,Bondoukou,CI,2022-05-07 18:51:26,8.0333,-2.8,78.04,67,100,1.79
159,Norfolk,US,2022-05-07 18:51:26,42.1668,-71.2495,53.65,56,0,19.57
160,Luwuk,ID,2022-05-07 18:51:26,-0.9516,122.7875,78.28,90,90,3.53
161,Ponta Do Sol,PT,2022-05-07 18:51:27,32.6667,-17.1,67.12,68,13,7.27
162,Camacha,PT,2022-05-07 18:50:04,33.0833,-16.3333,62.02,72,20,13.8
